Course Name,Course Description
Syntax And Structure of C - Simply C,Fundamentals of the C Programming Language. (March 2021)
Advanced C Programming,This course covers many advanced concepts of the C programming language for embedded applications. (June 2021)
C Programming: Linked List Data Structures,Learn how to use Linked List Data Structures to make your data access easier and more flexible. (June 2021)
"Advanced Embedded C Tips, Tricks, and Cautions","This class will help you take your C programming skills to the next level with concepts like header file inclusion, using typedefs for function pointers and structures, performing floating point math without hardware floating point units or firmware libraries, and initializing and clearing structures and unions. (June 2022)"
C Programming Callbacks,This class covers Callbacks in C which allow you to create more flexible and modular functions and enable you to separate hardware and software operations. (Jan 2023)
Introduction To MPLAB® X IDE,This class covers the basics of the MPLAB X IDE. (Dec 2020) [English and Spanish subtitles available]
Introduction to Breakpoints with MPLAB® IDE,This class covers hardware and software breakpoints which are the most useful of all tools when debugging your code
MPLAB® X Tips & Tricks,This is a collection of extremely useful tips and tricks that will help you get the most out of MPLAB® X. (Updated Jan 2021)
Overview of the MPLAB® Code Configurator (MCC) Content Manager (CM),This course provides basic information on how to navigate and create a new project using the MCC Content Manager. (June 2022)
MPLAB® Code Configurator (MCC) For Simplified Embedded Software Development,"The MPLAB® Code Configurator (MCC) is a free plug-in of MPLAB® X IDE, which provides an easy setup and configuration experience for supported microcontrollers. (Dec 2020)"
8-bit PIC® MCU Peripheral Deep Dive,"This class presents deep-dive information on the architecture, setup, demonstration and pitfalls of the most common PIC16 and PIC18 peripherals. New chapters will be added as they become available. (Updated July 2023)"
AVR Peripheral Deep Dive,"This class presents deep-dive information on the architecture, setup, demonstration and pitfalls of the most common AVR peripherals. More chapters will be added as they become available. (Updated June 2023)"
MCC Melody API Reference for AVR® MCUs,"MCC Melody components are the collective name for the provided libraries, drivers, Peripheral Libraries (PLIBs) and Hardware Initializers (HWIs). For select components, the MCC Melody API references now include a “How to use the …” sections, which are a series of use cases. (Jan 2023)"
MCC Melody API Reference for PIC® MCUs,"MCC Melody components are the collective name for the provided libraries, drivers, Peripheral Libraries (PLIBs) and Hardware Initializers (HWIs). For select components, the MCC Melody API references now include a “How to use the …” sections, which are a series of use cases. (Jan 2023)"
Migrating from MPASM™ to MPLAB® XC8 PIC® Assembler,This course will help you migrating your existing MPASM™ projects to MPLAB® XC8 PIC® Assembler. The lecture will focus only on differences between the two assemblers. (Feb 2023)
Automate FW testing with MDBCore scripting - Introduction,This course introduces the potential of MDBCore-scripting in automating firmware testing. (December 2023)
Automate FW testing with MDBCore scripting - Compile without IDE,In this course you will learn how to manually extract firmware revisions and how to compile code without an Integrated Development Environment (IDE) (December 2023)
Automate FW testing with MDBCore scripting - MDBCore Interface mdb,"In this module we cover the mdb, the simplest and first method to utilize MDBCore. (December 2023)"
Automate FW testing with MDBCore scripting - MDBCore Interface mdbcs,"In this module we cover the mdbcs, a more complex interface into MDBCore. (December 2023)"
Automate FW testing with MDBCore scripting - FW test automation with Java,This  class focuses on MDBCore scripting in the MPLAB® X ecosystem with Java. (December 2023)
Visual Debugging with MPLAB® Data Visualizer,"In this class, we’ll use MPLAB® Data Visualizer as a plugin to MPLAB X IDE to plot real-time data from PIC®, AVR® and SAM MCUs using the Curiosity Nano Platform, and Xplained Pro platforms. (Feb 2021)"
Creating Unique Digital and Analog Functionality by Interconnecting Core Independent Peripherals (CIPs).,This class will cover in detail a number of applications that utilize multiple Core Independent Peripherals (CIPs) to simplify the design of different circuits. (Updated Nov 2021)
8 Bit Microcontrollers: Architecture of the PIC16,"This class covers the basic architecture, memory map, instruction set, interrupt structure and special features of the PIC16F1x family of devices. (Feb 2022)"
Getting Started with PIC16F1xxx MCUs using MCC and State Machines,"When you complete this class you will be able to create a PIC16F1xxx application from scratch using State Machines, MPLAB® X and MPLAB Code Configurator (MCC). You will be able to configure GPIO, Timer, USART and ADC using MCC. (Nov 2021)"
Microchip Try - Basics of Developing Microcontroller Applications,"The Microchip Try platform provides online users the chance to learn the basics of microcontrollers without any hardware. Through a series of interactive applications, you will learn how microcontrollers work and how to create simple applications from start to finish."
Rapid Prototyping with the Curiosity Nano Platform,This course will help you to get the most out of the Curiosity Nano development platform. (Nov 2021)
Replacing ASIC Functions with 8-bit PIC® and AVR® MCUs,This class covers an overview of new 8-bit peripherals and then several examples on how to use 8-bit MCUs in creative ways including replacing the functions of an ASIC. (Oct 2022)
NVRAM and EEPROM Selection and Design,This class is an overview of external non-volatile memories. (July 2021)
Strategies for Nonvolatile Memory Reliability,"This class covers how EEPROM and NOR Flash memory operate, wear out, and fail, as well as several strategies for maximizing performance and reliability of memory devices in applications. (Sept 2021)"
Hello FPGA,Getting Started with Microchip FPGAs. (Dec 2020)
Using Microchip PolarFire® FPGAs in Low Power Applications,Microchip PolarFire® FPGAs offer the industry’s lowest-power FPGA fabric. (June 2021)
Configuring a SmartFusion® 2 FPGA and Developing Firmware Applications,"This class shows you how to configure the SmartFusion 2 MSS, add peripherals in the SmartFusion 2 FPGA fabric, complete the FPGA design flow and develop firmware applications for the ARM Cortex-M3. (Nov 2022)"
Introduction to PolarFire® FPGA Security,"This class explains the basic tenets of security, and specifically the design security and data security features of PolarFire® FPGAs. (Nov 2022)"
Picking the Right Timing Sources for your MCU/MPU or FPGA,"This class guides you through relevant, practical approaches to deciding on the timing sources for your MCU/MPU or FPGA. (June 2021)"
Introduction to Quartz Crystals,"This course provides a detailed overview of piezoelectric effect, resonator structures, cuts, vibration modes and overtones. (Oct 2022)"
"Oscillators: XOs, TXCOs and VCXOs","This course covers basic crystal oscillators, temperature-compensated oscillators and voltage-controlled oscillators. (Oct 2022)"
"Temperature Controlled Oscillators: OCXO's, EMXO's & MCXO's",This course covers oven-controlled oscillators (OCXOs) and how they achieve such tight frequency control over temperature. (Nov 2022)
"Alternate Resonators: SAW, MEMS & Atomic","This episode will introduce three common alternatives to quartz oscillators including silicon MEMS, SAW and atomic resonators. (Oct 2022)"
"Surviving the Extremes - Oscillators for Shock, Vibration and Temperature","This class covers the design approaches and construction techniques used to develop oscillators that can withstand shock, vibration and wide temperature ranges. (Oct 2022)"
Crystal Oscillators: Phase Noise and Short-Term Stability,"In this course we cover phase noise and how it consists of different noise sources between the crystal and the electronics. This discussion will consist of topics such as frequency and time domain, power law, short-term stability and noise mitigation. (May 2023)"
Crystal Oscillators: Challenges And Sources Of Error,This class dives into the common challenges and compromises when designing quartz oscillators. (Feb 2023)
Quartz Oscillators in Space,This course covers the effects of radiation on both quartz and quartz oscillator circuitry as well as the advantages and disadvantages of operating in a vacuum for various quartz oscillator types. (Aug 2023)
Select a Timing Source for your PCIe Application,"This class guides you through relevant, practical approaches to selecting the optimal timing source for you PCIe application. (July 2021)"
Designing with MEMS Oscillators,This class covers selecting a MEMS technology oscillator that can maintain tight frequency stability even under severe environmental conditions. (Feb 2022)
Design with Multi-output MEMS Oscillators,Short course designed to help you select the best multi-output MEMS oscillator for your project. (March 2024)
ARM® Cortex®-M Architecture Overview,This course covers the architectural differences of the Cortex-M cores and will help you select which device is the best choice for your own application. (Sept 2022)
Getting Started with Writing Code for the Microchip ARM® Cortex® Microcontrollers,"Learn how to get started writing code and operating peripherals on the Microchip SAM ARM  Cortex  M0+, M23 and M4 microcontrollers. (Sept 2021)"
dsPIC33CH Dual Core Device Architecture,This class will discuss the dsPIC33CH family of 16-bit dual-core dsPIC® devices. (Jan 2021)
dsPIC33CH Dual Core Programming and Debugging,Learn how a dual-core dsPIC® device with various interconnected peripherals can be leveraged to accelerate time-sensitive embedded control applications. (May 2021)
dsPIC33C Peripheral Deep Dive,"This class presents deep-dive information on the architecture, setup, demonstration and pitfalls of the most common dsPIC33C peripherals. (Updated May 2024)"
SAM and PIC32 Peripheral Deep Dive,This class presents extensive information on the architecture and configuration of the SAM and PIC32 Peripherals. (Updated April 2024)
FreeRTOS Simplified: A Beginner's Guide to Develop and Debug FreeRTOS Applications,"This class will help you get started with FreeRTOS applications on Cortex® M4F/M7 devices, using MPLAB® Harmony v3. In addition to basic RTOS concepts, the class emphasizes on common design considerations like task grouping, prioritizing and inter-task communication methods. (Jan 2022)"
Introduction to Embedded Linux,Exploring Embedded Linux on the ATSAMA5D27-SOM1-EK. (Dec 2020)
Exploring Linux Build Systems: Creating your first Embedded Linux System with Buildroot,Creating your first Embedded Linux System with Buildroot. (Dec 2020)
Building your Linux Development System,How to create a development system capable of building Linux solutions for Microchip MPUs. (Dec 2020)
